filename,width,height,class,xmin,ymin,xmax,ymax
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Muddy-Floor,170,349,554,572
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Muddy-Floor,206,163,474,333
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Stain,205,1,521,191
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Stain,561,250,640,463
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Stain,488,268,558,294
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Muddy-Floor,492,275,578,341
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Stain,242,363,314,448
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Muddy-Floor,293,306,314,363
238710313_jpg.rf.1f514ff980596e2881295e9d9efb178a.jpg,640,640,Stain,613,492,640,572
images-2-_jpeg.rf.da0ebc22b487df07e0d37e649f30ab4c.jpg,640,640,Muddy-Floor,124,218,492,640
images-2-_jpeg.rf.da0ebc22b487df07e0d37e649f30ab4c.jpg,640,640,Stain,96,41,507,413
images-2-_jpeg.rf.da0ebc22b487df07e0d37e649f30ab4c.jpg,640,640,Stain,445,220,640,640
images-2-_jpeg.rf.da0ebc22b487df07e0d37e649f30ab4c.jpg,640,640,Stain,396,0,550,53
SquatEase_WDO_Empathy-compressed_Page_17_jpg.rf.5cf813616e35ac6f1130f983e3342372.jpg,640,640,Muddy-Floor,1,0,640,640
bus-stand-public-toilet-5767453_jpg.rf.228a9ab26ed3a07eb10185b2eb9f6784.jpg,640,640,Muddy-Floor,0,290,640,640
bus-stand-public-toilet-5767453_jpg.rf.228a9ab26ed3a07eb10185b2eb9f6784.jpg,640,640,Stain,0,183,369,424
bus-stand-public-toilet-5767453_jpg.rf.228a9ab26ed3a07eb10185b2eb9f6784.jpg,640,640,Stain,407,329,549,377
Dirty_toilet_in_Pal_Garden_1_jpg.rf.7266c3905c843ac30cf8047ba060491c.jpg,640,640,Muddy-Floor,0,219,633,640
Dirty_toilet_in_Pal_Garden_1_jpg.rf.7266c3905c843ac30cf8047ba060491c.jpg,640,640,Muddy-Floor,20,40,260,215
Dirty_toilet_in_Pal_Garden_1_jpg.rf.7266c3905c843ac30cf8047ba060491c.jpg,640,640,Stain,397,5,432,26
20573494920_141c45d0c5_b_jpg.rf.a6eb061e3f33a09edb3d9a97c2b2ecad.jpg,640,640,Stain,109,91,377,585
20573494920_141c45d0c5_b_jpg.rf.a6eb061e3f33a09edb3d9a97c2b2ecad.jpg,640,640,Stain,105,412,522,615
20573494920_141c45d0c5_b_jpg.rf.a6eb061e3f33a09edb3d9a97c2b2ecad.jpg,640,640,Stain,294,153,640,488
20573494920_141c45d0c5_b_jpg.rf.a6eb061e3f33a09edb3d9a97c2b2ecad.jpg,640,640,Stain,496,223,608,298
6026168093_1ca59322c4_k_jpg.rf.bf7c35c42d3b89ec980e756fa9aeafd4.jpg,640,640,Stain,84,367,452,454
6026168093_1ca59322c4_k_jpg.rf.bf7c35c42d3b89ec980e756fa9aeafd4.jpg,640,640,Stain,499,372,598,482
6026168093_1ca59322c4_k_jpg.rf.bf7c35c42d3b89ec980e756fa9aeafd4.jpg,640,640,Stain,572,545,599,640
6026168093_1ca59322c4_k_jpg.rf.bf7c35c42d3b89ec980e756fa9aeafd4.jpg,640,640,Stain,496,481,584,524
pics4learning_jpg.rf.2cf8cb7fa1fe8e763c272208d9ef8f93.jpg,640,640,Stain,127,83,566,640
pics4learning_jpg.rf.2cf8cb7fa1fe8e763c272208d9ef8f93.jpg,640,640,Stain,75,20,162,637
pics4learning_jpg.rf.2cf8cb7fa1fe8e763c272208d9ef8f93.jpg,640,640,Stain,548,171,577,527
a95ac6d7ee1c52820f0fce55ba7082cc_jpg.rf.0a01778dea4b06ea6bc3ab6790e81bba.jpg,640,640,Stain,1,137,640,640
a95ac6d7ee1c52820f0fce55ba7082cc_jpg.rf.0a01778dea4b06ea6bc3ab6790e81bba.jpg,640,640,Muddy-Floor,91,272,614,599
a95ac6d7ee1c52820f0fce55ba7082cc_jpg.rf.0a01778dea4b06ea6bc3ab6790e81bba.jpg,640,640,Muddy-Floor,187,417,232,484
a95ac6d7ee1c52820f0fce55ba7082cc_jpg.rf.0a01778dea4b06ea6bc3ab6790e81bba.jpg,640,640,Muddy-Floor,410,555,635,639
a95ac6d7ee1c52820f0fce55ba7082cc_jpg.rf.0a01778dea4b06ea6bc3ab6790e81bba.jpg,640,640,Muddy-Floor,29,473,126,640
a95ac6d7ee1c52820f0fce55ba7082cc_jpg.rf.0a01778dea4b06ea6bc3ab6790e81bba.jpg,640,640,Muddy-Floor,487,299,556,375
a95ac6d7ee1c52820f0fce55ba7082cc_jpg.rf.0a01778dea4b06ea6bc3ab6790e81bba.jpg,640,640,Stain,413,126,482,263
